Timestamp,Crowd Density,Movement Speed,Panic Status
2026-07-01 16:47:45,0,0.0,Normal
2026-07-01 16:47:46,0,0.0,Normal
2026-07-01 16:47:47,0,0.0,Normal
2026-07-01 16:47:48,0,2.28,Normal
2026-07-01 16:47:49,1,4.33,Normal
2026-07-01 16:47:50,1,7.25,Normal
2026-07-01 16:47:51,1,6.1,Normal
2026-07-01 16:47:52,1,6.03,Normal
2026-07-01 16:47:53,1,6.51,Normal
2026-07-01 16:47:54,1,6.65,Normal
2026-07-01 16:47:55,1,3.44,Normal
2026-07-01 16:47:56,1,7.48,Normal
2026-07-01 16:47:57,1,5.22,Normal
2026-07-01 16:47:58,1,5.72,Normal
2026-07-01 16:47:59,1,5.57,Normal
2026-07-01 16:48:00,1,2.43,Normal
2026-07-01 16:48:01,0,0.24,Normal
2026-07-01 16:48:02,0,0.0,Normal
2026-07-01 16:48:03,0,0.0,Normal
2026-07-01 16:48:04,0,0.0,Normal
2026-07-01 16:48:05,0,0.0,Normal
2026-07-01 16:48:06,0,0.0,Normal
2026-07-01 16:48:07,0,0.0,Normal
2026-07-01 16:48:08,0,0.0,Normal
2026-07-01 16:48:09,0,0.0,Normal
2026-07-01 16:48:10,0,0.0,Normal
2026-07-01 16:48:11,0,0.0,Normal
2026-07-01 16:48:12,0,0.0,Normal
2026-07-01 16:48:13,0,0.0,Normal
2026-07-01 16:48:14,0,0.0,Normal
2026-07-01 16:48:15,0,0.0,Normal
2026-07-01 16:48:16,0,2.65,Normal
2026-07-01 16:48:17,0,1.17,Normal
2026-07-01 16:48:18,0,0.0,Normal
2026-07-01 16:48:19,0,0.0,Normal
2026-07-01 16:48:20,0,0.0,Normal
2026-07-01 16:48:21,0,0.0,Normal
2026-07-01 16:48:22,0,0.0,Normal
2026-07-01 16:48:23,0,0.0,Normal
2026-07-01 16:48:24,0,0.0,Normal
2026-07-01 16:48:25,0,0.0,Normal
2026-07-01 16:48:26,0,0.0,Normal
2026-07-01 16:48:27,0,0.0,Normal
2026-07-01 16:48:28,0,0.0,Normal
2026-07-01 16:48:29,0,0.0,Normal
2026-07-01 16:48:30,0,0.0,Normal
2026-07-01 16:48:31,0,0.0,Normal
2026-07-01 16:48:32,0,0.0,Normal
2026-07-01 16:48:33,0,0.0,Normal
2026-07-01 16:48:34,0,0.0,Normal
2026-07-01 16:48:35,0,0.0,Normal
2026-07-01 16:48:36,0,0.0,Normal
2026-07-01 16:48:37,0,0.0,Normal
2026-07-01 16:48:38,0,0.0,Normal
2026-07-01 16:48:39,0,0.0,Normal
2026-07-01 16:48:40,0,0.0,Normal
2026-07-01 16:48:41,0,0.0,Normal
2026-07-01 16:48:42,0,0.0,Normal
2026-07-01 16:48:43,0,0.9,Normal
2026-07-01 16:48:44,1,7.12,Normal
2026-07-01 16:48:45,1,6.71,Normal
2026-07-01 16:48:46,1,7.22,Normal
2026-07-01 16:48:47,0,5.02,Normal
2026-07-01 16:48:48,0,0.0,Normal
2026-07-01 16:48:49,0,0.0,Normal
2026-07-01 16:48:50,0,0.0,Normal
2026-07-01 16:48:51,0,0.0,Normal
2026-07-01 16:48:52,0,0.0,Normal
2026-07-01 16:48:53,0,0.0,Normal
2026-07-01 16:48:54,0,0.0,Normal
2026-07-01 16:48:55,0,0.0,Normal
2026-07-01 16:48:56,0,0.0,Normal
2026-07-01 16:48:57,0,0.0,Normal
2026-07-01 16:48:58,0,0.0,Normal
2026-07-01 16:48:59,0,0.0,Normal
2026-07-01 16:49:00,0,0.0,Normal
2026-07-01 16:49:01,0,0.0,Normal
2026-07-01 16:49:02,0,0.0,Normal
2026-07-01 16:49:03,0,0.0,Normal
2026-07-01 16:49:04,0,0.0,Normal
2026-07-01 16:49:05,0,0.0,Normal
2026-07-01 16:49:06,0,0.0,Normal
2026-07-01 16:49:07,0,0.0,Normal
2026-07-01 16:49:08,0,0.0,Normal
2026-07-01 16:49:09,0,0.0,Normal
2026-07-01 16:49:10,0,0.0,Normal
2026-07-01 16:49:11,0,3.41,Normal
2026-07-01 16:49:12,1,5.48,Normal
2026-07-01 16:49:13,1,5.22,Normal
2026-07-01 16:49:14,1,5.67,Normal
2026-07-01 16:49:15,1,3.9,Normal
2026-07-01 16:49:16,1,6.56,Normal
2026-07-01 16:49:17,1,5.66,Normal
2026-07-01 16:49:18,1,4.92,Normal
2026-07-01 16:49:19,1,5.92,Normal
2026-07-01 16:49:20,1,3.34,Normal
2026-07-01 16:49:21,1,3.51,Normal
2026-07-01 16:49:22,0,2.5,Normal
2026-07-01 16:49:23,0,3.2,Normal
2026-07-01 16:49:24,0,0.0,Normal
2026-07-01 16:49:25,1,5.3,Normal
2026-07-01 16:49:26,1,6.49,Normal
2026-07-01 16:49:27,1,6.32,Normal
2026-07-01 16:49:28,1,6.58,Normal
2026-07-01 16:49:29,1,4.27,Normal
2026-07-01 16:49:30,0,0.0,Normal
2026-07-01 16:49:31,0,0.0,Normal
2026-07-01 16:49:32,0,0.0,Normal
2026-07-01 16:49:33,0,0.0,Normal
2026-07-01 16:49:34,0,0.0,Normal
2026-07-01 16:49:35,0,0.0,Normal
2026-07-01 16:49:36,0,0.0,Normal
2026-07-01 16:49:37,0,0.0,Normal
2026-07-01 16:49:38,0,0.0,Normal
